v_1, v_2, v_3, v_4, v_5, v_6, v_7, v_8, v_9, v_10, v_11, v_12, v_13, v_14, v_15, v_16, v_17, v_18, v_19, v_20, v_21, v_22, v_23, v_24, v_25, v_26, v_27, v_28, v_29, v_30, v_31, v_32, v_33, v_34, v_35, v_36, v_37, v_38, v_39, v_40, v_41, v_42, v_43, v_44, v_45, v_46, 
0.154483, 0.0338032, 0.20308, 0.172891, 0.0602347, 0.0243188, 0.237097, -0.141903, 0.0161926, 0.133216, 0.154073, -0.0666253, 0.165696, -0.168412, 0.0617863, 0.0601641, -0.21055, -0.00570393, -0.205486, 0.114265, 0.0870758, 0.109658, 0.00244525, 0.0202329, 0.159131, 0.130105, 0.184942, 0.0761478, -0.217422, 0.0339346, -0.0187703, 0.234429, -0.206465, -0.293524, 0.307773, 0.251928, 0.162921, -0.25059, 0.0348767, -0.118841, 0.0911356, 0.0604936, 0.0309375, -0.0122121, -0.0015068, -0.0168059, 
0.163512, 0.00187323, 0.187067, 0.145496, 0.147816, 0.0386452, 0.199726, -0.114652, -0.0434384, 0.184966, 0.0480984, 0.089455, 0.20044, -0.129873, -0.112931, 0.101796, -0.107239, 0.0980321, -0.164826, -0.0204462, -0.0694847, 0.104926, 0.159566, -0.133786, 0.110561, 0.0624758, -0.0536444, -0.0431821, 0.0736222, -0.289582, -0.190645, 0.185756, -0.033014, 0.126069, -0.219606, -0.259215, -0.174969, 0.322279, -0.0797263, 0.223161, -0.192048, -0.214992, -0.10629, -0.0191673, -0.0414443, 0.0793229, 
0.172969, -0.0218529, 0.168286, 0.11555, 0.208458, 0.0542381, 0.153487, -0.0662257, -0.0995699, 0.170641, -0.0686535, 0.180103, 0.147691, -0.0290231, -0.175775, 0.0641429, 0.0358273, 0.0913281, 0.000834454, -0.113379, -0.116636, -0.00558745, 0.080748, -0.0850519, -0.0755009, -0.093366, -0.184263, -0.0681435, 0.186888, -0.0788809, 0.0334923, -0.219472, 0.19966, 0.200991, -0.0907796, 0.0441092, 0.0826331, -0.213637, 0.100619, -0.22252, 0.224536, 0.375761, 0.261247, 0.0898467, 0.0405075, -0.225354, 
0.179548, -0.0407244, 0.156191, 0.0743367, 0.254883, 0.0529487, 0.0898692, -0.0057211, -0.126264, 0.109961, -0.168058, 0.18752, 0.0252935, 0.0761135, -0.150896, 5.45595e-05, 0.147792, 0.0490369, 0.153993, -0.116546, -0.0804161, -0.0776921, -0.0626335, 0.0150626, -0.154051, -0.112423, -0.104371, -0.0251836, 0.0500376, 0.203583, 0.160555, -0.19605, -0.00761622, -0.16049, 0.197296, 0.204102, 0.0763359, -0.0450153, -0.0113147, 0.038864, -0.0576062, -0.314698, -0.374239, -0.143157, 0.0642875, 0.35147, 
0.184183, -0.0577626, 0.142823, 0.0231431, 0.277158, 0.0412985, 0.00828042, 0.0667286, -0.128843, 0.0168164, -0.204446, 0.11661, -0.096749, 0.13982, -0.0416536, -0.0638906, 0.166168, -0.0370037, 0.193855, -0.0254129, 0.0444548, -0.0834146, -0.144174, 0.102013, -0.0605699, 0.0140083, 0.132827, 0.0601694, -0.148158, 0.185613, 0.0569312, 0.17332, -0.205064, -0.167394, 0.0442571, -0.0931663, -0.131094, 0.200041, -0.104006, 0.140304, -0.17398, 0.0297353, 0.35484, 0.131747, -0.219778, -0.365928, 
0.185496, -0.0713196, 0.130038, -0.0233752, 0.275185, 0.0189052, -0.0703119, 0.121522, -0.103474, -0.0747048, -0.182173, 0.0106845, -0.168653, 0.131556, 0.0708817, -0.112659, 0.068889, -0.102259, 0.0698534, 0.111454, 0.131639, -0.0151291, -0.0678983, 0.0820829, 0.122606, 0.116091, 0.210366, 0.0626193, -0.129372, -0.0918869, -0.147673, 0.220131, -0.0210037, 0.150307, -0.175626, -0.222922, -0.0261459, -0.0454486, 0.0959636, -0.153659, 0.212194, 0.290699, -0.211645, -0.0476599, 0.312976, 0.295856, 
0.18728, -0.082405, 0.11219, -0.0660641, 0.247252, -0.0233739, -0.127271, 0.144221, -0.0439116, -0.141231, -0.110624, -0.0945394, -0.174371, 0.0594353, 0.142049, -0.0833652, -0.0702407, -0.0907601, -0.112553, 0.166962, 0.107144, 0.0732902, 0.0740903, -0.0148875, 0.142085, 0.058589, 0.0277789, -0.0187602, 0.0633471, -0.191384, -0.135894, -0.112162, 0.245805, 0.1789, -0.0303955, 0.186637, 0.183502, -0.254093, 0.0364628, 0.0144544, -0.0317536, -0.458022, 0.0359998, -0.0487116, -0.279683, -0.200685, 
0.190119, -0.0911789, 0.0922224, -0.103687, 0.207649, -0.0743166, -0.156895, 0.13337, 0.0209765, -0.168626, 0.00463975, -0.165419, -0.100814, -0.0318712, 0.139336, -0.00849453, -0.168374, -0.0149353, -0.218308, 0.0862812, -0.0369835, 0.0879528, 0.13746, -0.0859307, 0.0284179, -0.0338897, -0.18002, -0.0537466, 0.122671, -0.0673369, 0.0759545, -0.223951, 0.0590899, -0.22703, 0.185583, 0.214782, -0.0672479, 0.297229, -0.142524, 0.175536, -0.2112, 0.400143, 0.0427067, 0.0771736, 0.158724, 0.120073, 
0.191251, -0.0922253, 0.0714296, -0.139433, 0.14855, -0.131184, -0.168449, 0.105637, 0.0899109, -0.149027, 0.110606, -0.157002, 0.00932582, -0.114002, 0.0670565, 0.105507, -0.158881, 0.0937081, -0.132563, -0.0986655, -0.158666, 0.00689797, 0.0620832, -0.0620548, -0.137346, -0.091004, -0.141649, -0.0268108, 0.0264276, 0.129032, 0.185435, 7.65724e-05, -0.267352, -0.151723, -0.0447257, -0.358428, -0.203271, -0.0085119, 0.117839, -0.290284, 0.35252, -0.232481, -0.0190681, -0.0744459, -0.0704086, -0.0856686, 
0.190856, -0.0918822, 0.0495883, -0.172234, 0.0776591, -0.171333, -0.150236, 0.0534524, 0.142881, -0.0785535, 0.190489, -0.104997, 0.102537, -0.13595, -0.0452577, 0.177477, -0.0340047, 0.128426, 0.0729446, -0.208837, -0.119179, -0.0705691, -0.0660884, -0.00759595, -0.151325, -0.0451705, 0.0484607, 0.0184841, -0.084224, 0.170459, 0.00834934, 0.239183, -0.089919, 0.309705, -0.141392, 0.038241, 0.255358, -0.31862, 0.0263672, 0.244454, -0.37568, 0.113594, 0.00874766, 0.0371621, 0.0562145, 0.0767504, 
0.190066, -0.0881713, 0.0314627, -0.197449, -0.00247942, -0.195289, -0.105825, -0.0101927, 0.172877, 0.0114593, 0.204873, -0.0155545, 0.170197, -0.0900757, -0.137797, 0.126684, 0.121291, 0.0677253, 0.209989, -0.127179, 0.0541702, -0.0616094, -0.145157, 0.0484907, 0.0243865, 0.0660982, 0.158697, 0.0484512, -0.0691717, -0.0521318, -0.197991, 0.0622147, 0.281619, 0.0555052, 0.123347, 0.296297, -0.0301469, 0.384496, -0.186714, -0.078724, 0.371666, -0.0603352, -0.0659441, 0.0542717, -0.0258804, -0.068739, 
0.188033, -0.0824859, 0.00951233, -0.205798, -0.0776653, -0.199787, -0.0395255, -0.0707375, 0.160285, 0.111711, 0.156947, 0.0769271, 0.144267, 0.0139468, -0.146819, -0.021589, 0.17069, -0.0421596, 0.170378, 0.103297, 0.17041, -0.0120502, -0.038995, 0.0751394, 0.165401, 0.10587, 0.0367172, 0.00781163, 0.0596266, -0.182365, -0.0315634, -0.232411, 0.102349, -0.260411, 0.0864106, -0.215454, -0.259689, -0.19955, 0.301463, -0.101202, -0.311092, 0.0409507, 0.157831, -0.141255, -0.0851627, 0.155795, 
0.187165, -0.0808898, -0.0112768, -0.203956, -0.133619, -0.193701, 0.0251947, -0.109095, 0.109155, 0.165265, 0.0588067, 0.135688, 0.046215, 0.112893, -0.0683976, -0.147831, 0.129933, -0.130799, -0.014847, 0.22567, 0.121233, 0.03782, 0.0979564, 0.00891147, 0.112915, 0.00913861, -0.111521, -0.0507997, 0.067913, -0.00875485, 0.147663, -0.118561, -0.245287, -0.0732997, -0.144198, -0.132048, 0.285095, -0.0936803, -0.304276, 0.214539, 0.138488, -0.0390868, -0.212715, 0.122672, 0.25873, -0.298444, 
0.186285, -0.0816482, -0.029131, -0.195955, -0.173886, -0.156081, 0.0838178, -0.125348, 0.0425938, 0.164122, -0.0425304, 0.144294, -0.0673826, 0.156187, 0.0323264, -0.191197, 0.011317, -0.11968, -0.163024, 0.156254, -0.0367131, 0.0477347, 0.112597, -0.049891, -0.0536457, -0.103247, -0.0870315, -0.0279347, -0.00640965, 0.138114, 0.100699, 0.172675, -0.151727, 0.225417, -0.103673, 0.20214, 0.097188, 0.216192, 0.0848677, -0.160791, 0.0633365, 0.054312, 0.215226, -0.0392356, -0.383296, 0.386304, 
0.185786, -0.0809296, -0.0473695, -0.179763, -0.196692, -0.0941397, 0.128618, -0.130722, -0.0329358, 0.137627, -0.123897, 0.0839617, -0.149448, 0.10989, 0.108832, -0.106463, -0.104663, -0.0333938, -0.173302, -0.0502857, -0.167072, 0.0202448, 0.0244737, -0.0368892, -0.152115, -0.0965221, 0.0310917, 0.0283324, -0.0786421, 0.0987524, -0.1097, 0.164708, 0.175973, 0.108596, 0.178943, 0.122324, -0.345656, -0.00940078, 0.238356, -0.0758474, -0.179413, -0.0871637, -0.160598, 0.00304606, 0.359207, -0.334413, 
0.187022, -0.0782536, -0.0644255, -0.160453, -0.201, -0.0132575, 0.151637, -0.0990035, -0.103839, 0.0682108, -0.180886, 0.0112298, -0.175471, 0.00685572, 0.143905, 0.0367412, -0.147547, 0.0753197, -0.0677389, -0.21376, -0.156448, -0.0233765, -0.0725387, 0.00675301, -0.114658, 0.0078418, 0.116974, 0.045903, -0.0428474, -0.077159, -0.158933, -0.0788193, 0.217939, -0.173445, 0.133747, -0.308695, 0.0322553, -0.245264, -0.308555, 0.293393, 0.215234, 0.0974956, 0.0542348, 0.0156209, -0.231614, 0.189872, 
0.187821, -0.0789435, -0.0765619, -0.128779, -0.196421, 0.0768075, 0.14655, -0.0384369, -0.154128, -0.0111332, -0.181804, -0.0812425, -0.129254, -0.113901, 0.100956, 0.158155, -0.119805, 0.131059, 0.0994694, -0.19658, -0.000434814, -0.0361478, -0.151879, 0.024977, 0.0699205, 0.118998, 0.0906523, -0.00767179, 0.0171287, -0.162896, 0.0272412, -0.171725, -0.129934, -0.154462, -0.26455, 0.0478137, 0.380185, 0.252389, 0.0509383, -0.370936, -0.229758, -0.0822099, 0.0707872, -0.0621282, 0.148463, -0.0469527, 
0.188656, -0.0799385, -0.0809092, -0.0902535, -0.181459, 0.159986, 0.11685, 0.0158289, -0.172048, -0.0892206, -0.141907, -0.131273, -0.0347394, -0.174808, -0.0158118, 0.158552, -0.00758502, 0.0959487, 0.153786, -0.0107327, 0.184719, -0.0131258, -0.0488752, 0.0380926, 0.207541, 0.0971358, -0.0727293, -0.0469111, 0.12115, -0.0448396, 0.197079, -0.0275529, -0.232747, 0.149138, -0.0338344, 0.228781, -0.298904, -0.0667771, 0.278823, 0.319916, 0.190942, 0.0879429, -0.192026, 0.175678, -0.17214, -0.0315593, 
0.189636, -0.0795369, -0.0867812, -0.0411177, -0.155521, 0.218259, 0.0757613, 0.0671145, -0.154865, -0.147728, -0.0665114, -0.135705, 0.0714131, -0.166541, -0.110453, 0.0818368, 0.10735, -3.00648e-05, 0.0872786, 0.158937, 0.1748, 0.00614712, 0.135483, -0.021581, 0.095961, -0.0613308, -0.156503, -0.022835, 0.0600985, 0.151639, 0.0726655, 0.183005, 0.0814851, 0.207677, 0.229055, -0.0954501, -0.0997657, -0.0719682, -0.397291, -0.132247, -0.0515192, -0.0787114, 0.262327, -0.36047, 0.203142, 0.0495959, 
0.188616, -0.0737371, -0.0937957, 0.00329494, -0.120238, 0.250796, 0.0252153, 0.105717, -0.107258, -0.160608, 0.0304355, -0.101461, 0.159735, -0.0914601, -0.145992, -0.043174, 0.127123, -0.0723772, -0.0182926, 0.186602, 0.015589, 0.0217461, 0.147576, -0.0307655, -0.105238, -0.146865, -0.0674691, 0.00566353, -0.0655825, 0.162167, -0.153164, 0.101546, 0.244002, -0.168408, 0.0483638, -0.212079, 0.232507, 0.076532, 0.187935, -0.126728, -0.0961693, 0.00589264, -0.210076, 0.506042, -0.142705, 0.0161746, 
0.18619, -0.0654716, -0.105427, 0.0492123, -0.0928793, 0.259769, -0.0295935, 0.10305, -0.0486169, -0.139698, 0.120222, -0.0152741, 0.177288, 0.0355957, -0.107432, -0.138248, 0.0921095, -0.0914774, -0.0996297, 0.0713525, -0.163604, 0.0223756, 0.0350737, 0.000677934, -0.20947, -0.0710456, 0.0903025, 0.0603102, -0.169125, -0.0157827, -0.17857, -0.115799, -0.0453144, -0.194532, -0.306734, 0.159875, 0.0198279, 0.0363658, 0.152371, 0.253888, 0.124853, 0.107267, 0.0141273, -0.520855, -0.0163128, -0.127933, 
0.182568, -0.0530899, -0.114133, 0.0913282, -0.0610672, 0.253952, -0.0865185, 0.0920325, 0.0101851, -0.0746334, 0.175926, 0.0652693, 0.13285, 0.135268, -0.0266144, -0.175839, 0.00098732, -0.0821809, -0.0982842, -0.0776735, -0.160603, 0.00910491, -0.102062, 0.0245898, -0.102556, 0.0723311, 0.167051, 0.0371005, -0.0521404, -0.229288, 0.0271956, -0.194961, -0.234753, 0.131298, 0.000271967, 0.125744, -0.228968, -0.139754, -0.206898, -0.0992852, -0.0138379, -0.209554, 0.22154, 0.40173, 0.194541, 0.210081, 
0.177417, -0.0373481, -0.128782, 0.134878, -0.0351768, 0.220334, -0.138637, 0.0581762, 0.0733276, 0.0109954, 0.183774, 0.128483, 0.0427716, 0.197649, 0.0524934, -0.126834, -0.0921689, -0.0168248, -0.0369989, -0.152218, -0.0630052, -0.0122205, -0.136879, 0.00668793, 0.0824239, 0.147878, 0.050042, -0.0278326, 0.138353, -0.118419, 0.226237, 0.0556486, -0.0152105, 0.200077, 0.283553, -0.144578, 0.0831069, 0.0675939, -0.0897521, -0.159162, -0.143762, 0.224937, -0.368143, -0.195692, -0.307735, -0.196846, 
0.170736, -0.0205888, -0.143566, 0.179473, -0.0139975, 0.166556, -0.167134, 0.00764561, 0.118794, 0.0881068, 0.140799, 0.14658, -0.0605669, 0.182803, 0.115686, -0.00694752, -0.137047, 0.06705, 0.0285614, -0.125208, 0.0826329, -0.0185123, -0.0730178, 0.003263, 0.183504, 0.0614835, -0.108359, -0.0735879, 0.179717, 0.119079, 0.120667, 0.208282, 0.2142, -0.111204, 0.0487977, -0.0794384, 0.206736, 0.11196, 0.318702, 0.270607, 0.174318, -0.169439, 0.309881, 0.0124703, 0.264646, 0.0942125, 
0.163377, 0.000498159, -0.158703, 0.211378, 0.0013144, 0.0951648, -0.177891, -0.0517632, 0.146262, 0.145201, 0.0689479, 0.118091, -0.147815, 0.0842851, 0.134893, 0.147389, -0.109046, 0.117204, 0.0958616, -0.0166062, 0.15366, -0.0229446, 0.0735567, -0.0148792, 0.137967, -0.100395, -0.158944, -0.0192638, -0.0196083, 0.239208, -0.20021, 0.0560786, 0.0695345, -0.226313, -0.408616, 0.18164, -0.256737, -0.184424, -0.282046, -0.183084, -0.0891329, 0.0655849, -0.135186, 0.0538506, -0.116457, 0.000137082, 
0.153813, 0.0283296, -0.175931, 0.242229, 0.0143156, 0.00950009, -0.183197, -0.102709, 0.151018, 0.150256, -0.0368586, 0.0509731, -0.203464, -0.0831954, 0.0730155, 0.238326, 0.0155197, 0.0802011, 0.105993, 0.131284, 0.126091, 0.00862675, 0.161185, -0.0211894, -0.108679, -0.178755, -0.00464273, 0.077314, -0.262043, -0.0386786, -0.279718, -0.319578, -0.283451, 0.263846, 0.308271, -0.12151, 0.11008, 0.120676, 0.131663, 0.0533321, 0.0248632, 0.00689487, 0.0294159, -0.0270668, 0.0166946, -0.0134038, 
0.142526, 0.0624423, -0.19355, 0.254554, 0.0202086, -0.0977643, -0.178886, -0.159758, 0.113484, 0.0953556, -0.159522, -0.0750321, -0.147254, -0.239884, -0.0346406, 0.129378, 0.184052, -0.0594026, -0.000545508, 0.219413, -0.112124, 0.000919166, 0.0718291, -0.0314107, -0.295702, 0.0745673, 0.186152, 0.0369835, -0.00279251, -0.302517, 0.477128, 0.197174, 0.216668, -0.108152, -0.104356, 0.0515647, -0.027879, -0.0300207, -0.0300308, 0.000982559, 0.00026157, -0.0109334, -0.0141579, 0.0112161, 0.00201659, 0.00555167, 
0.129513, 0.10309, -0.202518, 0.237533, 0.0241373, -0.207255, -0.136458, -0.176658, 0.0213712, -0.0501463, -0.225989, -0.154797, 0.0253296, -0.223238, -0.152207, -0.148647, 0.146646, -0.163235, -0.202011, -0.0343023, -0.233932, 0.0109984, -0.242693, 0.0643661, 0.169936, 0.218884, 0.0072217, -0.0978831, 0.333704, 0.296444, -0.312061, -0.0507605, -0.120493, 0.0248571, 0.0285544, -0.0125472, 0.00528525, -0.00172443, 0.00253298, -0.0136257, -0.00216584, 0.00893422, 0.0132855, -0.00336538, -0.000630563, 0.000902394, 
0.114644, 0.150712, -0.20552, 0.175292, 0.0371064, -0.291665, -0.0325952, -0.1326, -0.132867, -0.158901, -0.148483, -0.132876, 0.222994, 0.0453264, -0.0689492, -0.300871, -0.0932552, -0.024687, 0.00605957, -0.32265, 0.159562, -0.0230793, -0.023905, 0.0245735, 0.220399, -0.296383, -0.22406, 0.0419982, -0.406351, -0.182679, 0.1416, 0.0155481, 0.0691421, 0.00164066, -0.0188222, -0.00687859, 0.00669379, -0.00175612, -0.00127, 0.0104174, -0.00746806, -0.00769213, -0.00295856, -0.000731514, -0.00862594, -0.000535939, 
0.0981369, 0.190559, -0.204756, 0.0907374, 0.0301507, -0.295139, 0.0851422, -0.0189288, -0.247153, -0.194165, 0.00977541, 0.0110361, 0.227049, 0.283262, 0.0477828, -0.00327942, -0.193744, 0.210972, 0.14473, 0.060328, 0.247849, 0.0182782, 0.275909, -0.114563, -0.299898, 0.139436, 0.301758, 0.0419469, 0.316114, 0.0898467, -0.0548473, -0.0109326, -0.055339, -0.0113146, 0.0105644, 0.0134908, -0.00534509, 0.00465145, 0.00133571, -0.00447609, 0.00203902, 0.00439513, -0.00336555, -0.00154024, 0.00832825, -0.00188133, 
0.0808488, 0.217284, -0.193279, 0.00979268, 0.0511615, -0.213348, 0.172101, 0.132399, -0.27845, -0.126203, 0.194918, 0.16209, 0.00881405, 0.164519, 0.12725, 0.338689, 0.0391414, 0.0298195, 0.0224641, 0.371904, -0.344396, -0.0229688, -0.284953, 0.083007, 0.0882913, 0.120765, -0.286791, -0.071883, -0.19672, -0.047588, -0.0111038, 0.0159877, 0.0440416, 0.0226211, 0.0135157, -0.00621179, -0.000269366, -0.0068706, -0.0039248, -0.000378399, 0.00134487, -0.00549366, 0.00217327, 0.00767004, -0.00428139, 0.00205573, 
0.0662655, 0.233618, -0.169052, -0.0525806, 0.0922083, -0.0816263, 0.182012, 0.240864, -0.157317, 0.015174, 0.277857, 0.18148, -0.230712, -0.187949, 0.0368151, 0.152198, 0.216277, -0.335583, -0.163513, -0.300837, 0.0658797, 0.0226041, 0.164578, 0.0214093, 0.18075, -0.315743, 0.266241, 0.0853181, 0.172717, 0.00636188, 0.0488392, 5.961e-05, -0.0234385, -0.0294095, -0.00645401, 0.00541906, -0.00180038, 0.00628416, 0.0117393, 0.002971, -0.00326661, 0.00159841, -0.0054467, -0.00558844, 0.000942554, -0.00198892, 
0.0552639, 0.233737, -0.159904, -0.0917222, 0.11831, 0.0141994, 0.176168, 0.2476, 0.0503798, 0.143747, 0.146803, 0.0358533, -0.243722, -0.27022, -0.126419, -0.330096, -0.0119153, 0.118713, -0.0303026, -0.104332, 0.266916, 0.082069, -0.0387009, -0.050449, -0.31141, 0.408059, -0.247999, -0.17491, -0.183274, 0.0327186, -0.0507957, -0.0111487, 0.0256911, 0.0119518, -0.00951894, -0.00234537, -0.00831577, -0.0049669, -0.00372241, -0.00581615, 0.00241332, 0.00131094, 0.00137683, -0.00260143, -0.000503098, 0.0011149, 
0.0435094, 0.2256, -0.1568, -0.121478, 0.13424, 0.0792854, 0.163201, 0.182009, 0.21166, 0.167188, -0.0332095, -0.15354, -0.0595173, -0.0603893, -0.125628, -0.279419, -0.170369, 0.305279, 0.185116, 0.249608, -0.256663, -0.111994, -0.0449945, 2.79931e-05, 0.200889, -0.236482, 0.0720355, 0.435058, 0.169631, -0.0238983, 0.021111, 0.0141381, -0.0158338, 0.00299289, 0.00256258, 0.00787824, 0.0132544, 0.00303462, -0.00806269, 0.00720245, 0.004233, -0.00414972, 0.0036846, 0.00307626, 0.0035039, -0.00528353, 
0.0340503, 0.200974, -0.151728, -0.143304, 0.135836, 0.124109, 0.156969, 0.102867, 0.307986, 0.0916514, -0.203238, -0.163815, 0.16252, 0.143627, 0.0176549, 0.101078, -0.056686, -0.0596562, 0.0559122, 0.0221626, -0.0873435, -0.0264846, 0.0781519, 0.02679, 0.0803613, -0.129343, 0.251158, -0.695235, -0.107148, 0.00620233, 0.0146929, -0.0147378, -0.000701177, -0.00192901, 0.0161605, -0.00593815, -0.0181292, -0.00190518, -0.00534555, 0.00185424, 0.00473542, 0.00861925, 0.00592753, -0.0100131, 0.00111547, -4.80527e-05, 
